관광지명,관광지구분,소재지도로명주소,위도,경도,관리기관전화번호,관리기관명,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,주차가능수,category
순천만습지,관광지,전라남도 순천시 순천만길 513-25(대대동),34.88579701,127.5092833,061-749-6052,전라남도 순천시청 순천만보전과,순천만쉼터+ 공예·특산품관+ 안내소+유모차대여+양산대여,정보없음,용산전망대+순천만갈대밭,순천문학관+체험선+순천만역사관+자연생태관,정보없음,정보없음,600,기타
낙안읍성,관광지,전라남도 순천시 낙안면 충민길 30(동내리),34.90640107,127.3418227,061-749-8840,전라남도 순천시청 낙안읍성지원사업소,주차장+ 화장실+ 음수대+ 매표소+ 관광안내소+ 전시가옥+ 체험장+ 자료관+ 교통통제소,개인 민박(36개소),정보없음,정보없음,식당(난전1~4호점)+ 매점,정보없음,565,기타
드라마촬영장,관광지,전라남도 순천시 비례골길 24(조례동),34.95810919,127.5378026,061-749-4540,전라남도 순천시청 관광과,주차장+화장실+음수대+매표소+관광안내소+전시가옥+체험장+자료관+수유실+여행자쉼터,해당없음,추억음악실+청춘사진관+뽑기방+오락실,순양극장+언약의집+시간여행영화속으로+여행자쉼터,매점+장터,해당없음,170,기타
뿌리깊은나무박물관,관광지,전라남도 순천시 낙안면 평촌3길 45,34.9036464,127.3399827,061-749-8858,전라남도 순천시청 문화유산과,박물관 쉼터+ 물품보관소+ 매표소+ 안내데스크,해당없음,해당없음,해당없음,해당없음,해당없음,40,문화
송광사,관광지,전라남도 순천시 송광면 송광사안길 100,35.00236255,127.2748706,061-755-0107,전라남도 순천시청 송광면,쉼터,정보없음,정보없음,정보없음,정보없음,정보없음,300,기타
선암사,관광지,전라남도 순천시 승주읍 선암사길 450,34.99618213,127.327356,061-754-5247,전라남도 순천시청 승주읍,화장실+ 매표소+ 주차장+ 종무소(안내소)+ 기념품판매소(선각당+ 금강서적),심검당+ 창파당+ 설선당+ 해천당,해당없음,불교대학+ 템플스테이,공양간+ 선각당(찻집),없음,330,기타
에코촌유스호스텔,관광지,전라남도 순천시 해룡면 생태배움길 123,34.92310938,127.5164423,061-749-4816,전라남도 순천시청 관광과,화장실,숙박시설 20개,씨름장,정보없음,정보없음,에코관+ 생태관+ 식당+ 자가취사장,45,기타
순천자연휴양림,관광지,전라남도 순천시 서면 청소년수련원길 170,35.04388083,127.4744949,061-749-8948,전라남도 순천시청 산림과,화장실+ 취사장+ 샤워장,객실 29실+ 캐빈하우스 6동+ 야영장 19면,정보없음,숲속치유의집+ 유아숲체험원,정보없음,관리사무소,80,자연
기독교역사박물관,관광지,전라남도 순천시 매산길 61(매곡동),34.96043473,127.4801207,061-749-8858,전라남도 순천시청 문화유산과,작은 도서관+ 안내데스크,해당없음,해당없음,해당없음,해당없음,해당없음,4,문화
승주골프장,관광지,전라남도 순천시 별량면 오실길 333,34.89477542,127.4482083,061-740-8181,전라남도 순천시청 승주읍,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,400,레저/스포츠
파인힐스골프장,관광지,전라남도 순천시 주암면 송광사길 99,35.03454985,127.2723022,061-750-9000,전라남도 순천시청 주암면,클럽하우스+ 락카룸+ 사우나,골프텔(36객실),27홀,정보없음,레스토랑+ 그늘집+ 프로샵,정보없음,300,레저/스포츠
레이크힐스골프장,관광지,전라남도 순천시 주암면 행정1길 77,35.0453779,127.3092617,061-729-8888,전라남도 순천시청 주암면,클럽하우스+ 락카룸+ 사우나,골프텔,36홀,정보없음,레스토랑+ 프로샵,정보없음,400,레저/스포츠
순천컨트리클럽,관광지,전라남도 순천시 별량면 동화사길 85,34.86653556,127.4059214,061-720-0000,전라남도 순천시청 별량면,골프장,정보없음,정보없음,정보없음,매점+식당,정보없음,150,기타
부영컨트리클럽,관광지,전라남도 순천시 해룡면 신대로 188,34.94005246,127.5555065,061-816-5500,전라남도 순천시청 해룡면,ATM,호텔,골프연습장,정보없음,호텔 76객실,정보없음,150,기타
그림책도서관,관광지,전라남도 순천시 도서관길 33(동외동),34.9579091,127.4860252,061-749-8892,전라남도 순천시청 도서관운영과,화장실+ 수유실,정보없음,정보없음,인형극장,카페테리아,정보없음,20,기타
순천시청소년수련원,관광지,전라남도 순천시 서면 청소년수련원길 167,35.04652524,127.4733227,061-755-6296,전라남도 순천시청 평생학습과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,100,기타
순천용오름마을,관광지,전라남도 순천시 주암면 운룡2길 17,35.0921171,127.2020571,061-754-2416,전라남도 순천시청 주암면,화장실+ 테마체험관+,숙박시설 5개,정보없음,용오름계곡,매점+ 용오름장터,정보없음,50,전통
사라실 라벤더 단지,관광지,,35.04162939,127.270748,061-762-0723,사라실라벤터 영농조합법인,화장실+주차장+기념품판매소+매표소,정보없음,정보없음,정보없음,레스토랑+카페테리아,관리사무소,1000,기타
사라실 예술촌,관광지,전라남도 광양시 사곡로 201,34.962211,127.626222,061-797-2734,전라남도 광양시청 문화예술과,주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,1000,문화
광양 마로산성,관광지,,34.966742,127.619496,061-797-2418,전라남도 광양시청 문화예술과,주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,1000,자연
광양 궁시장,관광지,,34.98778794,127.5865036,061-763-1154,광양궁시전수교육관,"화장실,+궁시체험장",정보없음,정보없음,정보없음,정보없음,정보없음,1000,시장/쇼핑
매천황현생가,관광지,전라남도 광양시 봉강면 서석길 14-3,34.99341564,127.561707,061-797-2418,전라남도 광양시청 문화예술과,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,1000,역사
비비정예술열차,관광지,전라북도 완주군 삼례읍 비비정길 73-21,35.89880244,127.0676418,063-211-7788,전라북도 완주군청,주차장+레스토랑+아트숍+카페,정보없음,정보없음,주차장+레스토랑+아트숍+카페,주차장+레스토랑+아트숍+카페,정보없음,20,문화
삼례문화예술촌,관광지,전라북도 완주군 삼례읍 삼례역로 81-13,35.90623513,127.0658535,063-290-2614,전라북도 완주군청,관리사무소+화장실(3동)+주차장,관광호텔,정보없음,관리사무소+화장실(3동)+주차장,관리사무소+화장실(3동)+주차장,정보없음,30,문화
삼례책마을,관광지,전라북도 완주군 삼례읍 삼례역로 68,35.90745719,127.065756,063-290-2614,전라북도 완주군청,주차장+카페+무인서점,관광호텔,정보없음,주차장+카페+무인서점,주차장+카페+무인서점,정보없음,30,전통
그림책미술관,관광지,전라북도 완주군 삼례읍 삼례역로 48-1,35.90832046,127.068059,063-290-2614,전라북도 완주군청,주차장,관광호텔,정보없음,주차장,주차장,정보없음,5,문화
대한민국술테마박물관,관광지,전라북도 완주군 구이면 덕천전원길 232-58,35.726048,127.1361627,063-290-3854,전라북도 완주군청,관리사무소+화장실(5동)+주차장,정보없음,정보없음,관리사무소+화장실(5동)+주차장,관리사무소+화장실(5동)+주차장,정보없음,40,문화
완주전통문화체험장,관광지,전라북도 완주군 고산면 대아저수로 416,35.98879491,127.261342,070-4100-1100,전라북도 완주군청,주차장+화장실,정보없음,정보없음,주차장+화장실,주차장+화장실,정보없음,100,전통
간현관광지,관광지,강원특별자치도 원주시 지정면 소금산길 12,37.36457641,127.834038,033-737-4765,강원특별자치도 원주시청,관리사무소+주차장+화장실+샤워장,민박+모텔,풋살장+족구장,야영장+공연장+수련원,정보없음,정보없음,268,기타
가덕도,관광지,"부산광역시 강서구 동선길 10, (성북동)",35.05664068,128.8316554,051-970-2652,부산광역시 강서구청,강서구관광안내소+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,248,기타
낙동강제방(강서30리벚꽃길),관광지,"부산광역시 강서구 공항로 1246, (대저1동)",35.20985086,128.9845591,051-971-6011,대저생태공원 관리사무소,관리사무소+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,1100,플라워/가드닝
대저생태공원,관광지,"부산광역시 강서구 공항로 1246, (대저1동)",35.20985086,128.9845591,051-971-6011,대저생태공원 관리사무소,관리사무소+화장실+주차장,정보없음,축구장(3)+야구장(2)+농구장(8)+테니스장(8)+게이트볼장(4)+인라인스케이트장(1),대저생태공원캠핑장,정보없음,정보없음,1100,자연
맥도생태공원,관광지,"부산광역시 강서구 공항로 500, (대저2동)",35.15230906,128.9549009,051-941-9728,맥도생태공원 관리사무소,관리사무소+화장실+주차장,정보없음,축구장(2)+야구장(1)+농구장(2)+족구장(2)+테니스장(6)+배구장(2)+배드민턴장(3)+게이트볼장(3)+인라인스케이트장(1),정보없음,정보없음,정보없음,122,자연
김대중노벨평화상기념관,관광지,전라남도 목포시 삼학로 92번길 68,34.78285177,126.3922506,061-245-5660,전라남도 목포시청,화장실+주차장+기념품판매점,정보없음,정보없음,박물관,카페테리아,정보없음,10,문화
목포자연사박물관,관광지,전라남도 목포시 남농로 135,34.79372717,126.4210674,061-274-3655,전라남도 목포시청,화장실+주차장+기념품판매점,정보없음,정보없음,박물관,매점,정보없음,450,문화
갓바위,관광지,전라남도 목포시 남농로 135,34.79372717,126.4210674,061-273-0536,전라남도 목포시청,공중화장실,정보없음,정보없음,정보없음,정보없음,정보없음,60,기타
괴강,관광지,충청북도 괴산군 괴산읍 충민로검승3길 10,36.80676203,127.8252917,043-830-3820,충청북도 괴산군,도로+주차장+관리사무소+이벤트광장,"향토음식점, 노변휴게소","극기훈련장, 다목적구장",청소년수련관+생태학습준비실+괴강국민여가캠핑장 야외무대+괴강공원+농업역사박물관,정보없음,녹지,140,기타
수옥정,관광지,"충청북도 괴산군 연풍면 수옥정길 174, 수옥정관광지관리사무소",36.81361722,128.036232,043-830-2683,충청북도 괴산군,주차장+배수지+공중화장실+오수처리장+관리사무소+도로 및 광장,"호텔, 여관, 펜션",물놀이장,저수지 위락시설,정보없음,녹지+사찰+하천 및 저수지,120,기타
고석정,관광지,강원도 철원군 동송읍 태봉로 1825,38.18542141,127.2874037,033-450-5534,철원군청 관광과,"시설물관리사업소, 주차장, 화장실, 매표소, 오수처리장, 도로 및 광장, 임꺽정상, 분수대관광정보센터, 관광안내소",관광호텔,"다목적운동장, 일반유원시설","잔디광장, 정자, 철원관광정보센터, 농업전시관, 팔각정, 생태탐방로","판매점, 종합휴게소",관광안내소,628,기타
명월사지흥국사,관광지,"부산광역시 강서구 허왕후길 182, (지사동)",35.13886951,128.8341451,051-970-4065,부산광역시 강서구청,안내판,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
렛츠런파크 부산경남,관광지,"부산광역시 강서구 가락대로 929, (범방동)",35.15474347,128.8819186,051-901-7114,렛츠런파크 부산경남공원,종합안내센터+편의용품대여소+화장실+흡연실+마권사는곳+편의점,정보없음,어린이축구장+어린이놀이터+포니승마장+가족테마존+생활체육존국제승마경기장+실내승마장+승용마하우스,정보없음,정보없음,정보없음,4747,자연
강서체육공원,관광지,"부산광역시 강서구 체육공원로 43, (대저1동)",35.21018443,128.9723366,051-970-1200,강서체육공원 관리사무소,관리사무소+화장실+주차장,정보없음,"실내체육관(경기장1개소, 관람석 4189석)+보조체육관(지하1층: 수영장(1개소), 지상1층: 배드민턴장(9면), 지상2층: 트레이닝센터(1), 배트민턴장(3면))+하키경기장(경기장 2면(인조잔디), 관람석 2612석)+양궁경기장(경기장 1면, 관람석 432석)+축구연습장(경기장 2면)+테니스장(인조잔디 4면)+기타시설(야외농구장, 소공원 1개소)",정보없음,정보없음,정보없음,527,산책/휴식
서낙동강카누경기장,관광지,"부산광역시 강서구 조정경기장길 120, (강동동)",35.17013026,128.9068188,051-970-4125,부산광역시 강서구청,관리사무소+화장실+주차장,정보없음,"운동장 276272㎡(부지25252㎡, 조정호 251020㎡)+경기장시설(조정8레인, 카누9레인)",정보없음,정보없음,정보없음,20,기타
성륜사,관광지,전라남도 곡성군 옥과면 미술관로 287,35.29704978,127.1208706,061-363-7001,전라남도 곡성군청 문화체육과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,40,기타
관음사,관광지,전라남도 곡성군 오산면 성덕관음길 453,35.21469614,127.1653199,061-362-4433,전라남도 곡성군청 문화체육과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,12,기타
천태암,관광지,전라남도 곡성군 목사동면 대신로 381-336,35.09395689,127.2764599,061-363-2011,전라남도 곡성군청 문화체육과,주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,9,기타
용산재,관광지,전라남도 곡성군 목사동면 신숭겸로 226,35.13103091,127.3210133,061-363-1495,전라남도 곡성군청 문화체육과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,40,자연
대가야생활촌,관광지,경상북도 고령군 대가야읍 신남로 81,35.7118532,128.269244,054-950-7180,경상북도 고령군청,관리사무실 1동(매표소)+고객쉼터(1동)+수유실(2동)+공중화장실(3동)+문화관광안내소 및 복식체험존(1동)+연못 1개소+어린이 놀이터 1개소+물놀이시설 1개소+전시관 3개소,기와마을 11실+초가마을 9실,정보없음,정보없음,정보없음,정보없음,198,기타
아트빌리지(한옥마을),관광지,경기도 김포시 모담공원로 170,37.64510127,126.6946856,031-996-6836,김포문화재단,"화장실, 주차장",전통한옥숙박시설,전통놀이체험,"한옥마을,문화원,카페,공방,꽃집,",음식점,정보없음,142,전통
오전약수관광지,관광지,경상북도 봉화군 물야면 문수로 1541,37.01209531,128.7457209,054-679-6353,경상북도 봉화군청,관리사무소+화장실+상하수도시설+주차장,정보없음,정보없음,정보없음,관광식당,정보없음,500,기타
다덕약수관광지,관광지,경상북도 봉화군 봉성면 다덕로 873,36.9141215,128.8273232,054-679-6353,경상북도 봉화군청,관리사무소+화장실+주차장,정보없음,정보없음,정보없음,관광식당,정보없음,120,기타
금마관광지,관광지,전북특별자치도 익산시 금마면 고도9길 41-14,36.0015063,127.0570781,063-859-5827,전북특별자치도 익산시청,광장+안내시설+화장실+주차장+만남의장,황토숙박,놀이시설+전통 놀이마당,공연장+조경휴게소+공원+교양관+유적전시시설+꽃동산+마재배지+실개천+잔디광장+서동선화이야기동산+주말농장+농경체험장+상가,정보없음,정보없음,451,기타
미륵사지관광지,관광지,전북특별자치도 익산시 금마면 미륵사지로 362,36.01154232,127.0287139,063-859-5827,전북특별자치도 익산시청,주차장+광장+안내소+화장실,정보없음,정보없음,전통음식점+기념품점,정보없음,정보없음,150,기타
왕궁보석테마 관광지,관광지,전북특별자치도 익산시 왕궁면 호반로 8,35.99061279,127.1025486,063-859-5827,전북특별자치도 익산시청,주차장+광장+관광안내시설,정보없음,놀이터,보석박물관+화석전시관+공룡테마공원+피크닉장+기타+전시판매센터+식당+판매시설,정보없음,정보없음,236,기타
웅포관광지,관광지,전북특별자치도 익산시 웅포면 강변로 25,36.06581391,126.8754193,063-859-5827,전북특별자치도 익산시청,주차장+화장실+샤워장+취사장및음수대,정보없음,골프장+운동장+썰매장,문화체육센터+캠핑장+청소년수련시설+야영장+자연학습장+골프연습장+상가,정보없음,정보없음,100,기타
보은 삼년산성,관광지,충청북도 보은군 보은읍 성주1길 104,36.48993999,127.7417752,043-540-3407,충청북도 보은군청,화장실+해설사의 집,보은읍내 숙박 가능,보은 스포츠파크(야구장+수영장+축구장),농경문화관,해설사의 집(문화관광해설사 관광안내),정보없음,50,자연
보은 우당고택,관광지,충청북도 보은군 장안면 개안길 10-2,36.46857583,127.7906134,043-540-3392,충청북도 보은군청,화장실+해설사의 집,보은 우당고택 숙박가능,정보없음,서원계곡+서원리 소나무,보은 우당고택 안채+사랑채,정보없음,10,역사
속리산 법주사,관광지,충청북도 보은군 속리산면 법주사로 379,36.53993659,127.8306346,043-540-3392,충청북도 보은군청,화장실+해설사의 집,속리산 숲체험휴양마을 등 다수의 숙박시설 보유,세조길+오리숲길+야영장,법주사내 국보와 보물 보유,해설사의 집(문화관광해설사 관광안내),정보없음,150,자연
동학농민혁명기념공원,관광지,충청북도 보은군 보은읍 동학로 236-22,36.51567136,127.7591951,043-540-3392,충청북도 보은군청,화장실+해설사의 집,보은읍내 숙박 가능,보은 스포츠파크(야구장+수영장+축구장),솔향공원+속리산 법주사,해설사의 집(문화관광해설사 관광안내),정보없음,30,산책/휴식
에버랜드,관광지,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.2940667,127.202128,031-324-2117,경기도 용인시 관광과,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,10400,테마파크/놀이공원
한국민속촌,관광지,경기도 용인시 기흥구 민속촌로 90,37.25913189,127.1225431,031-324-2117,경기도 용인시 관광과,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,2800,기타
장흥관광지,관광지,경기도 양주시 장흥면 권율로 193,37.73281632,126.9492504,031-8082-5664,경기도 양주시청,관광안내소+화장실+주차장,관광호텔,정보없음,캠핑장+미술관,정보없음,정보없음,502,기타
인천상륙작전기념관,관광지,인천광역시 연수구 청량로160번길 26,37.42070925,126.6531798,032-832-0915,인천광역시,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,정보없음,정보없음,정보없음,정보없음,정보없음,50,문화
인천도시역사관,관광지,인천광역시 연수구 인천타워대로 238,37.39281227,126.6358879,032-850-6000,인천광역시,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,정보없음,정보없음,정보없음,정보없음,정보없음,70,철도/교통 체험
가천박물관,관광지,인천광역시 연수구 청량로102번길 40-9,37.41847997,126.6576026,032-833-4747,가천문화재단,주차장 + 화장실 + 상하수도시설 + 전기시설 + 통신시설,정보없음,정보없음,정보없음,정보없음,정보없음,21,문화
춘천호반,관광지,강원특별자치도 춘천시 서면 경춘로 1401-25,37.825714,127.659368,033-245-2211,강원특별자치도 춘천시청,도로+관리사무소 2동+주차장+화장실 3동+오수처리장+배수지,방갈로+야영캠프장,낚시터+수영장,유원지+박물관,정보없음,정보없음,202,기타
만인의총,관광지,전북특별자치도 남원시 만인로 3,35.420404,127.377325,063-636-9321,문화재청,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,50,기타
아담원,관광지,전북특별자치도 남원시 이백면 목가길 193,35.440571,127.476826,063-635-8342,아담원,주차장,정보없음,정보없음,커피숍,정보없음,정보없음,40,기타
남원관광지,관광지,전북특별자치도 남원시 양림길 12,35.402481,127.386137,063-620-8911,전북특별자치도 남원시청,관리사무소+주차장+화장실,켄싱턴리조트+춘향가호텔+남원파크+호텔춘향+리버모텔+드라마모텔+마음호텔,오리보트장+궁술장,남원랜드+국립국악원+동백연죽전시장+춘향테마파크+향토박물관+사랑의 광장,정보없음,정보없음,255,기타
서산동 시화골목,관광지,전라남도 목포시 해안로 127번길 14-2,34.78174519,126.3773176,061-270-8598,전라남도 목포시청,화장실+주차장+여행자쉼터,정보없음,정보없음,정보없음,여행자쉼터,정보없음,40,자연
연희네슈퍼(영화 1987 촬영지),관광지,전라남도 목포시 해안로 127번길 14-2,34.78174519,126.3773176,061-270-8598,전라남도 목포시청,화장실+주차장+여행자쉼터,정보없음,의상체험+셀프시잔관+화가의집,정보없음,여행자쉼터,정보없음,40,기타
춤추는 바다분수,관광지,전라남도 목포시 평화로 82,34.79666213,126.4337909,061-270-8580,전라남도 목포시청,화장실+주차장+관광안내소,정보없음,레이저쇼+워터스크린+사연이벤트,정보없음,정보없음,정보없음,80,자연
목포해상케이블카,관광지,전라남도 목포시 해양대학로 240,34.79940179,126.3700239,061-244-2600,전라남도 목포시청,화장실+주차장+매표소+관광안내소+기념품판매점+푸드코트,정보없음,VR체험관,안전홍보관,카페테리아+휴게실,정보없음,848,기타
삼학도크루즈,관광지,전라남도 목포시 삼학로 92번길 104,34.78101571,126.387931,061-245-3222,전라남도 목포시청,화장실+주차장+매표소+휴게실,정보없음,공연장+전망대+카페테리아+라운지,관광유람선,카페테리아,정보없음,100,기타
죽녹원,관광지,전라남도 담양군 담양읍 죽녹원로 119,35.32535666,126.9866155,061-380-2782,전라남도 담양군 산림정원과(대숲정원팀),관리사무소+공중화장실+전망대+정자,한옥체험장(12객실),어린이놀이터,조경 및 휴게시설+생태전시관(이이남아트센터),향교죽녹원+죽녹원식당,정보없음,70,기타
메타세쿼이아랜드,관광지,,35.32342607,127.001993,061-380-3161,전라남도 담양군 관광과(관광시설팀),메타세쿼이아길 L=2.1km+어린이프로방스+영화세트장+개구리생태공원+에코허브센터+호남기후변화체험관+매표소 3개소+검표소 6개소+쉼터 2개소+화장실 4개소,메종드프로방스+담양프로방스펜션,어린이프로방스+카페테리아+곤충박물관,조경 및 휴게시설,명가정+담양갈비창고,정보없음,2000,테마파크/놀이공원
소쇄원,관광지,전라남도 담양군 가사문학면 소쇄원길 17,35.18433903,127.0121793,061-380-2819,전라남도 담양군 문화체육과(문화재팀),관리사무소(매표소),정보없음,정보없음,조경 및 휴게시설,대가,정보없음,90,기타
한국대나무박물관,관광지,전라남도 담양군 담양읍 죽향문화로 35,35.30934367,126.9764088,061-380-2902,전라남도 담양군 공공시설사업소(한국대나무박물관팀),관리사무소(매표소),정보없음,정보없음,조경 및 휴게시설,박물관앞집,정보없음,150,문화
한국가사문학관,관광지,전라남도 담양군 가사문학면 가사문학로 877,35.18796216,127.0054858,061-380-2702,전라남도 담양군 문화체육과(한국가사문학관팀),한옥형 본관+매표소+화장실,정보없음,정보없음,기획전시실(갤러리)+자미정+세심정+토산품전시장+전통찻집,대가,정보없음,90,문화
슬로시티삼지내마을,관광지,전라남도 담양군 창평면 돌담길 56-24,35.23522516,127.0178498,061-380-3159,전라남도 담양군 관광과(슬로시티팀),관리사무소+공중화장실,돌담집 민박+한옥애+하심당,정보없음,정보없음,약초밥상,정보없음,300,전통
인천도호부청사,관광지,인천광역시 미추홀구 매소홀로 589,37.4393787,126.6868134,032-422-3492,인천광역시청,관리사무소+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,50,기타
순천만국가정원,관광지,전라남도 순천시 국가정원1호길 47,34.92888588,127.4999591,061-749-2749,전라남도 순천시청 국가정원운영과,ATM+ 의료센터+ 체험학습센터+ 공중전화+ 물품대여소+ 물품보관소+ 분실물보관소+ 종합안내소+ 매표소+ 수유실+ 어린이보호소+ 노약자/장애인 보호소+ 대형버스기사쉼터,해당없음,관람차+스카이큐브+야생동물원+세계의상체험장+수상자전거체험+이미지유화체험,갯벌공연장+갯지렁이갤러리+갯지렁이도서관+한방체험센터,매점+식당+카페+기념품점,소회의실+컨퍼런스홀+입체영상관+,3530,산책/휴식
등명해변관광지,관광지,강원특별자치도 강릉시 강동면 정동등명길 2,37.70232906,129.0161926,033-640-5685,강원특별자치도 강릉시청,화장실+주차장,다우리조텔+민박,레일바이크,정동진시간박물관,정보없음,정보없음,120,기타
화순온천,관광지,전라남도 화순군 백아면 옥리길 14-7,35.1624699,127.0837781,061-379-3532,전라남도 화순군청,관리사무소+공중화장실+온천공+배수지+단지내도로 등,휴양콘도,아쿠아리움,온천장+종합유원시설,정보없음,정보없음,536,온천/스파
도곡온천,관광지,전라남도 화순군 도곡면 온천2길 44,35.02470562,126.903529,061-379-3532,전라남도 화순군청,관리사무소+공중화장실+온천공+배수지+단지내도로 등,일반숙박업+무인텔 등,정보없음,온천장+일반유원시설,정보없음,정보없음,462,온천/스파
운주사,관광지,전라남도 화순군 도암면 천태로 91-44,34.92906333,126.8825635,061-379-3532,전라남도 화순군청,야외공연장+하수처리장+잔디광장+화장실+주차장+사진문화관,정보없음,정보없음,정보없음,정보없음,정보없음,380,기타
삼척해수욕장,관광지,강원특별자치도 삼척시 수로부인길 453,37.47034344,129.1647024,033-570-3547,강원특별자치도 삼척시청,관리사무소+주차장+광장+화장실(2동)+샤워장,모텔+콘도미니엄 및 호텔,정보없음,정보없음,정보없음,정보없음,1400,계절별 명소
맹방관광지,관광지,강원특별자치도 삼척시 근덕면 상맹방길 30-80,37.39591618,129.2207941,033-570-3547,강원특별자치도 삼척시청,관리사무소+주차장+화장실(1동),휴양콘도미니엄+ 돔하우스+ 카라반,골프장,야영장,정보없음,정보없음,500,기타
장호관광지,관광지,강원특별자치도 삼척시 근덕면 삼척로 2154,37.2868038,129.3079336,033-570-3547,강원특별자치도 삼척시청,관리사무소+주차장,호텔,케이블카,야영장,정보없음,정보없음,800,기타
초당관광지,관광지,강원특별자치도 삼척시 근덕면 미근로 1629,37.37650408,129.2047561,033-570-3547,강원특별자치도 삼척시청,광장+주차장,게스트하우스+ 클럽하우스,골프장,정보없음,정보없음,정보없음,140,기타
송도오션파크,관광지,부산광역시 서구 송도해변로 36,35.0727183,129.0174477,051-240-4082,부산광역시 서구청,화장실+주차장,정보없음,운동시설+해안산책로+광장,정보없음,관리실,정보없음,88,테마파크/놀이공원
송도용궁구름다리,관광지,부산광역시 서구 암남동 620-53,35.0619212,129.021965,051-240-4084,부산광역시 서구청,화장실,정보없음,정보없음,정보없음,매표소,정보없음,0,기타
구곡폭포,관광지,강원특별자치도 춘천시 남산면 강촌구곡길 254,37.797033,127.615852,033-250-3668,강원특별자치도 춘천시청,관리사무소+주차장+공중화장실 4동+도로,휴양콘도미니엄+가족호텔,골프장+스키장,미술관+박물관,정보없음,전용숙소+연수시설,242,자연
연곡해변관광지,관광지,강원특별자치도 강릉시 연곡면 해안로 1282,37.85990446,128.8520583,033-640-5685,강원특별자치도 강릉시청,관리사무소+화장실+주차장+샤워장,"솔향기캠핑장(캠핑존 127면, 카라반존 8면, 자동차 캠핑존 12면)",정보없음,정보없음,정보없음,정보없음,120,기타
감귤박물관,관광지,제주특별자치도 서귀포시 효돈순환로 441(신효동),33.27159304,126.6074285,064-760-6400,제주특별자치도 서귀포시청,"관리사무소+화장실(실내 3, 야외 2)+주차장",정보없음,정보없음,정보없음,정보없음,정보없음,90,문화
명승 거창 수승대,관광지,경상남도 거창군 위천면 은하리길 2,35.760923,127.8336763,055-940-8532,경상남도 거창군청,관리사무소+취사장+화장실+관광안내소,여관,모험시설+간이수영장+썰매장,목재체험장+조경휴게지+구연서원+요수정+원각사+야외공연장+야영장+오토캠핑장,정보없음,자연취락용지+현수교,483,기타
가조온천,관광지,경상남도 거창군 가조면 온천길161,35.69875771,128.0231044,055-940-3443,경상남도 거창군청,관리사무소+주차장+공원,여관,테니스장+종합위락센터,온천장+공원,정보없음,녹지+하천,168,온천/스파
옥계해변관광지,관광지,강원특별자치도 강릉시 옥계면 금진솔밭길 104-29,37.62673237,129.0485254,033-640-5685,강원특별자치도 강릉시청,화장실+주차장+샤워장,정보없음,정보없음,한국여성수련원,정보없음,정보없음,180,기타
주문진해변관광지,관광지,강원특별자치도 강릉시 주문진읍 주문북로 222-30,37.91144947,128.8177557,033-640-5685,강원특별자치도 강릉시청,화장실+주차장+샤워장,베네키아호텔,정보없음,교직원연수원,정보없음,정보없음,250,기타
동의한방촌,관광지,경상북도 경산시 남산면 삼성현공원로38,35.79937497,128.800141,053-852-8866,경상북도 경산시청,체험시설,정보없음,정보없음,정보없음,정보없음,정보없음,40,기타
삼성현역사문화공원,관광지,경상북도 경산시 남산면 삼성현공원로59,35.80168834,128.7966117,053-804-7329,경상북도 경산시청,박물관+체험시설,정보없음,정보없음,정보없음,정보없음,정보없음,100,철도/교통 체험
자인계정숲,관광지,경상북도 경산시 자인면 계정길 68,35.81784608,128.8189958,053-856-5765,경상북도 경산시청,체험시설,정보없음,정보없음,정보없음,정보없음,정보없음,20,자연
화암관광지,관광지,강원특별자치도 정선군 화암면 화암동굴길 12-13,37.35092374,128.7896216,033-560-2053,강원특별자치도 정선군청,도로주차장관리사무소+화장실 등,정보없음,다목적광장 등,향토박물관+금광촌 등,정보없음,정보없음,500,기타
아우라지 관광지,관광지,강원특별자치도 정선군 여량면 아우라지길 69,37.47574407,128.7243663,033-560-2053,강원특별자치도 정선군청,도로주차장관리사무소+화장실 등,정보없음,다목적운동장 등,아리랑전수관+달오름공원 등,정보없음,정보없음,100,기타
